id,유저ID,내용
275,Jenny,한복은 대한민국 우리 조상님들의 혼이 담긴 고귀한 옷이지 너거덜 박쥐나 쳐먹는 일개 짱깨새끼들이 입으라고 만들어진거 아니다 씹창련들아 아가리 줏닥쳐라
276,돔,진짜 돌앗나
277,참치,당연히 우리나라 전통 한복을 중국꺼라고 우기는데 화안날 한국인이 어디있나요 반대로 한푸를 한국거라고 우겨도 중국인들은 역으로 화 안낼 자신이 있나요 우리는 당연히 화를 내야할 부분에서 화를 낸것 뿐인데 전혀 이런 부분에대한 사과나 해명은 없고 결국은 우리가 모욕당했으니 한국 서버를 종료하겠다 라는거잖아요. 중국 수준이 원래 그러한가요 배운 사람이 전혀 없는건가요 왜 한국의 문화를 가져가지못해 안달인건가요 죄를 지은 부분에 대한 사과를 하는법을 배우지 못했나요 어린아이같은 미성숙한 마인드로 빼애액 우기기만 하면 중국에선 다 통하나 보죠 지금까지 아무말 않고 보고만 있었는데 공지글이 너무 화가나네요. 사실을 보려하지않고 억지 우기기만 할줄 아는 중국인들의 수준 잘 보았구요 앞으로 그런 마인드로 한국에서 돈 벌 생각 하지 않으셨으면 좋겠습니다.
278,매화G,환불해라 씨발것들아 환불해주고 떠나든지해
279,앵두c,진짜 충격적이고 실망스럽네요. 같은 동시간대에 살고 있는 거 맞죠 어찌 이리인류애 상실 정말 이해 불가다. 대단하네요 중국 유저분들 개인정보 삭제에 환불은 해주시겠죠? 마지막까지 그러진 맙시다 
280,릴리아,뭐야 결국 너네들은 잘못한거 없고 우리가 욕해서 접는다는 뜻이잖아
281,개새끼들아,병신 같은 게임
282,로앙아귀화해,파페 한국에 니들 게임 런칭하기만해봐라
283,콩 순 이,아 나 존나 열시뫼 ㅙ했는데 시발 진짜 거짓말이라고 하세요 어그로라고 
284,리시아린I,잘가요한판은 제발 서비스 하지 말아주세요. 안그래도 일본 게임 할거 많아요.
285,한복은 한국전통의상,와 진짜 대박
286,개새끼들아,韩服是民主化运动的象征 我感受到了很多中国人希望用한푸도전来实现民主主义。 支持你们的勇气。 한복은 민주화운동의 상징이다. 한푸도전 으로 민주주의를 실현하려는 중국인들의 열망을 느꼈다. 너희들의 용기를 지지한다.
287,짱깨문화거지새끼들,중국전통의상을 알리자는 목표면 느그나라 의상만 홍보해 남의 나라 전통의상까지 인게임에 넣지말고 느그 아샤 왕국에 한복 전부 삭제시켜
288,서샛별,탈퇴는 해주고가 미친놈들아 개같게
289,Dda,방문 횟수 2인데
290,니키 진짜 이럴래,아니 사과를 하든 뭘 하든 니네가 끝마무리는 해야지 책임은 어따 팔아먹었냐 제가 글들이랑 댓글단거 보시면 아시겠지만 저는 지금까지 최소한의 예의로 욕도 안쓰고 그저 운영자들의 책임회피와 대응방식에 화를 내 왔습니다. 그런데 이번 공지사항이 아주 가관이네요. 예의는 밥 말아드셨습니까 당신들은 한국인 입니까 중국인 입니까 당신들은 피해자가 아닙니다. 사과와 보상은 안바래도 책임은 지셔야지요. 이리 무책임하게 나올거면 왜 이랬습니까 당신들의 언행과 행동들은 용서받지 못할 행동임을 인지하십시오 유저들을 기만하시고 이게 뭐하는 짓이냐고요 하루 내내 회의한 내용이 겨우 이거입니까 ﻿
291,파란라이더,중국인 맞대자너 
292,타냐,중국새기들 진짜 드러워서못살겟다 제발 나가뒤져
293,벼르쿵,에휴 미친놈들. 이래서 공산주의가 무섭다니까 모욕은 무슨 모욕 니들이 한국유저들에게 모욕준거지. 니네들 기분 나쁘니까 섭종 하시겠다? 그래 잘가라. 나도 이딴 거지 게임 안하려니까. 표절의 국가야 남의 것 따라하는 걸 부끄럽게 알아라
294,율 하,바퀴벌레들이 한국에서 드디어 나가네 중국의 역사는 모든 주위의 약소국들의 부러운 문화들을 다 가져다가 만든 가짜다 전세계 사람들은 홍콩의 민주화와 독립을 응원하고있다 중국은 미세먼지와 코로나에 파묻혀서 정신이 나갔다
295,중국ㅗ,존나 한심하다 중국 새끼득 
296,멍청이매국노,그리고 한복은 대한민국 고유의 것이고 고조선의 역사도 우리의 것 고구려 역사도 우리의 것 발해의 역사도 우리의 것 이어도도 우리의 것 동북공정 
297,usbo,꺼지는건 좋은데 한복이 왜 니들건지 근거나 가져와 잘근잘근 밟아줄게
298,스카이,짱깨
299,여신이,이딴 쌉소리 지껄일 시간에 환불이나 하세요 그럼 지금 그렇게 긴 시간동안 해결해야 할건 안하고 이런 ㅈ같은 입장문 쓸 생각만 하신거네요  그냥 느그나라로 돌아가세요 우리도 바퀴벌레만 그득그득한 회사는 필요없어요 
300,사련,개 어이없네 이럴거면 한국에 왜 오셨어요 한국에서 사업을 할 거면 한국유저들 입장에 귀를 기울여줘야죠 한복이 지들거라고 우기는데 가만히 잇나요? 나라 팔아먹는거나 다름 없습니다. 치파오 한국거라고 하면 말 곱게 쓰면서 글 쓸 건가요 진짜 어이가 없네요 앞으로 하시는 일마다 망하길 바래요 
301,홍시녀,샤이닝2020님아 다른건 몰라도 개인정보 유출은 아니지않냐 그리고 조심해 그렇게 살면 너 벌받아 죽어
302,소젼,와 이걸 내뺀다고 환불은 꼭 해주세요 
303,리즈벨,한복은 한국의 전통 복장입니다 근데 공지글 작성하시는 분 국적은 어디신지?
304,이눙이,레전드다 일주일만에 섭종공지 환불이나 해라
305,치킨뒷다리,와 대박이다 섭종은 예상했지만 걍 죄송합니다하고 꺼질줄 알았더니 중국 모욕하는거 못참음 중국복식 강조하면서 우리꺼 맞다고 기싸움 끝까지 니들이 틀림 이러고 튀는게 실화야 서비스사가 
306,로레일르,이야 미친 역대급이다 이건 심지어 한국카페에 안내문 올리면서 중국을 모독하기에 섭종하는거랰 두 곳에서 팽당할까봐 중국이라도 붙잡고자 이러는거겠지 어휴 최악이다 이딴 게임을 했었다는 거 자체가 흑역사네
307,아리1,환불하고 니네 나라로 꺼지렴
308,김걍,살다살다 이딴 쓰레기들은 진짜 처음 보네 사과는 못할 망정 지들이 뭘 했다고 한계에 달했대 웃기네
309,카드값줘체리힝,환불이나 해주고 가라
310,애용이,근데 이상태로 섭종하면 제 개인정보는 어떻게 되나요 탈퇴 완료가 안된 상태로 섭종하면 개인정보 파기 안시킬거 같은데
311,더럽다더러워,이제 환불까지 바라지는 않을테니까 탈퇴라도 하게 해줘요그리고 한복이 민주화의 상징이라는 건 아시리라 믿습니다
312,Adamas,내용 실화야 씨빠빠룰라 
313,린아,재기빔
314,뿌야,실망했습니다 한복은 한국꺼입니다 변치않는 사실을 왜곡하지 마십시오 그냥 망해버리세요
315,뿌야,돈은 뱉고 가세요
316,커피루,글 조선족이 썼냐 짭개새끼들 빤쓰런하는 거 보소
317,녹차모찌떡,진짜 2020년은 중국으로 시작해서 중국으로 끝나겠네요. 어메이징한 나라다 정말
318,아율,뭐 하세요
319,친남,느그 국가 존엄성 니들이나 찾아라
320,카누,드디어 환불이랑 개인정보 파기 꼭 하고가랏 액션 비이이임 역시 한국사람들 단합심 넘 멋있고 자랑스럽다
321,장사접어,한복은 민주화 운동의 상징 한국은 민주주의 국가 중국은 한복 구경은 해봤냐 입어본 적도 없으면서 랄지no 한국 문화에 침흘리지 말고 몇 없는 니들 문화나 챙겨 
322,하늘색깔,꺼질때 꺼지더라도 다 뱉어내고 꺼져
323,중국ㅗ,이거 복붙해서 널리널리 퍼트려주세요 한국인 기만한 중국놈들 韩服是韩国的民主化运动的象征。 主张韩服是中国的东西意味着作者渴望民主主义。 啊对了。你上次跟我说过希望中国成为民主主义国家吧？ 没错。希望不要忘记天安门精神继续穿上象征民主化运动的韩服。 한복은 한국 민주화 운동의 상징이다. 한복이 중국의 것이라는 주장은 저자가 민주주의를 열망한다는 것을 의미한다. 아 맞다. 너 저번에 나한테 중국이 민주주의 국가가 되길 바란다고 말했지? 맞아요. 천안문 정신을 잊지 말고 민주화 운동을 상징하는 한복을 계속 입었으면 좋겠어요. 韩服是民主化运动的象征。 我感受到了很多中国人希望用한푸도전来实现民主主义。 支持你们的勇气。 한복은 민주화운동의 상징이다. 한푸도전 으로 민주주의를 실현하려는 중국인들의 열망을 느꼈다. 너희들의 용기를 지지한다. 한푸_도전 汉服挑战 hanfu_challenge 我们穿着韩服赢得了民主主义。 谢谢你们喜欢韩服我支持中国的民主化 우린 한복을 입고 민주주의를 이뤄냈지 한복 좋아해줘서 고맙다 중국의 민주주의도 응원해
324,밤새,시발 이렇게 더러운 게임은 처음이라 중국인 말살이 답이다 진짜 이렇게까지 중국인 싫어하진 읺았는데 트위터에서 중국인들 말하는 꼬라지보니까 중국인은 싹다 죽여애해 한국 작다고 나라가 아니래요 역사가 없대 지들 문화만 존중받고 딴나라 문화는 존중할줄 모르네 내로남불 지렸다 진짜
325,사자왕,레알이넼 
326,포로롱,돈내놔
327,밀링,끝까지 한국유저 기만하네요. 다신 보지 맙시다.
328,녹차모찌떡,다들 말 진짜 존중하면서 잘 하고 있었는데 모욕 진짜 모욕은 지금 이 글이에요
329,포로롱,환불 해달라고
330,뾰뾰,와 이 미친놈들이 진짜 어이없네 중국어 번역기로 돌려서 보냈니 개똥망이다 진짜 이런 섭종을 바라는건 아니였을텐데 끝까지 한국탓 하고 가는구나 남은사람 환불 꼭 해주고 가라 이것들아 살다살다 이렇게 빨리 섭종하는 게임을 내손으로 할줄은 
331,미련,레전드 
332,미련,존나 다시는 만나지말자
333,무지FREE HONGKONG,니들 사과하면 정부에 잡혀가서 그런거지 답 나왔네 
334,녹차모찌떡,누가 모욕했는데 이렇게 나와
335,지렁,시발 존나 한심하네요
336,진짜무섭네,중국이 중국했네 
337,짱꼴라 out,엥 지랄하네 애초에 한복이 느그꺼가 아닌데 왜 자꾸 중국전통복장이야 걍 꺼져 한복에 비비지마 더러운 날강도새끼들아 잘가라 아 내 돈은 내놓고 가 
338,커피루,중국 후빨 오지노 쌧빠닥 갈색 되겠네
339,NAOR,중국본사에서 쓴글이구나 
340,내돈돌려냇,환불이나 해줘
341,키아라,곤룡포 같은 관복은 중국에서 온 게 맞지만 평상복인 한복은 우리가 독자적으로 발전시킨 겁니다. 장난하시나요 중국이 주장하는 한푸의 정의가 뭔데요 당나라의상 명나라 의상 그냥 온 소수 민족 전통의상 전부 포함한 의상 한푸의 범위도 정확하지 않으면서 관복을 제외한 지금 일반인들이 한복까지 자기들 나라꺼라 우기는게 맞다고 보나요 정말 중국 미개하고 세뇌가 무섭네요.
342,샤방방,미친 것들이 사과는 없고 분노를 한다네 지랄도 가지가지다 야이 더러운 것들아 우리나라 다른 겜도 섭종 해라 어디 남의 돈 먹으면서 이따구로 장사질이야 드러운 수전노 새끼들 공산당이라면서 돈이라면 환장하는 돈벌레 시키들 한가지만 해라. 공산당을 하든 자본주의를 하든. 모순 쩌는 새키들
343,룰르르,이걸 한국어로 쓰고 튀네 야 니네 정부가 이렇게 안쓰면 죽인다고 그러디
344,광휘,야 이 ㅅㅍ 도랐냐 진짜 
345,세이네린,중국에서 지령내려왔나봐
346,찐빵s,나대지 말고 느그나라 느그들 손으로 직접 문화 만들렴
347,푸무,이거 완전 미친놈들이네 
348,주혼,어휴 화나다 못해 불쌍하다.
349,펑,이거나 읽고가. 이제 장사 못해. 뉴스 많이 나왔어 
350,매화G,이새끼들아 한복은 전통의상이다 종료할꺼면 게임에 돈 쓴 사람들 돈 다 환불해주고 종료하던지해라 우라질것들 진짜 가만히 있으니 가마니로 보이냐 다 환불 해주고 떠나라
351,로보,예 정말 섭종 감사하고 삼대 탈모 기원합니다 
352,시엘르,유감스럽고 분노스럽다 개풀 뜯어먹는 소리 하고 앉아 있네. 우리 언제 한복 세트 폐기해달라했냐 . 지들이 존나 한섭 유저들한테 일언반구도 안하고 그냥 무작정 폐기한다고 점검 들어간게 누군데. 니네잖아. 뭐 때문에 폐기하는지 설명이나 했냐 그것도 우리 한섭 유저들이 폐기하는 이유 알아와서 알게 된거지 누굴 탓해.
353,시엘르,피코에다 가스라이팅 오지네 진짜. 이참에 느그 겜에 예전에 냈던 한복들 싹 다 내려라.
354,룰르르,논란을 일으킨건 니네 짱깨새끼들이지 중국을 모욕 
355,잊빵,중국사람이 썼나요 우리가 잘못했니 중국인들이 발작한거자나
356,나두야,아 됐고 환불 공지 좀
357,랑랑쓰,카페보면 논란이 한개가 아닙니다. 계정유출 해킹 논란도 있는데 이것만 이렇게 이야기하고 가시다니 관련 다른부분도 해결하시고 확실하게 계정정보 등 삭제한다고 확인까지 보여주시고 가시죠.
358,엘도,얼척없다 진짜 파페 끝까지 중국유저 편드는거봐 그러면 한국 서버 왜 열었어 
359,세임,만면이 뭐야 너 한국인 아니지
360,수소,님들아 링크건거 한번 보셈 보다가 씨발 열불나서 지랄하네 개웃김 속국 응 지랄하지마
